,Lower Bound,Upper Bound,Number of Dimensions,Swarm size,Number of Informants,Iterations,Alpha ,Beta ,Gamma,Delta,Epsilon,Mean Minima,Standard Deviation Minima,Minimum
0,-100,100,10,30,5,100,0.5,1.3,1.3,1.4,0.5,-409.44,75.76,-449.67
1,-100,100,10,30,5,100,0.8,1.3,1.3,1.4,0.5,-395.77,48.71,-447.46
2,-100,100,10,30,5,100,0.5,1.3,1.3,1.4,0.8,-422.26,52.0,-449.99
3,-100,100,10,30,5,100,0.8,1.3,1.3,1.4,0.8,404.79,586.11,-166.36
4,-100,100,10,30,5,100,0.5,1.0,1.4,1.6,0.5,-278.08,287.25,-449.97
5,-100,100,10,30,5,100,0.8,1.0,1.4,1.6,0.5,-224.09,263.17,-431.48
6,-100,100,10,30,5,100,0.5,1.0,1.4,1.6,0.8,-396.74,96.49,-449.98
7,-100,100,10,30,5,100,0.8,1.0,1.4,1.6,0.8,1202.05,759.08,131.64
8,-100,100,10,30,5,100,0.5,1.0,1.0,2.0,0.5,-196.88,289.98,-449.7
9,-100,100,10,30,5,100,0.8,1.0,1.0,2.0,0.5,-121.38,257.74,-429.17
10,-100,100,10,30,5,100,0.5,1.0,1.0,2.0,0.8,-310.31,215.06,-449.25
11,-100,100,10,30,5,100,0.8,1.0,1.0,2.0,0.8,1110.44,634.81,397.71
12,-100,100,10,30,10,100,0.5,1.3,1.3,1.4,0.5,-347.5,167.51,-449.46
13,-100,100,10,30,10,100,0.8,1.3,1.3,1.4,0.5,-306.65,186.55,-449.6
14,-100,100,10,30,10,100,0.5,1.3,1.3,1.4,0.8,-240.31,195.34,-440.12
15,-100,100,10,30,10,100,0.8,1.3,1.3,1.4,0.8,676.05,554.08,-143.73
16,-100,100,10,30,10,100,0.5,1.0,1.4,1.6,0.5,-397.18,114.56,-443.97
17,-100,100,10,30,10,100,0.8,1.0,1.4,1.6,0.5,-141.72,190.78,-414.82
18,-100,100,10,30,10,100,0.5,1.0,1.4,1.6,0.8,75.81,1037.73,-449.44
19,-100,100,10,30,10,100,0.8,1.0,1.4,1.6,0.8,774.22,575.52,28.37
20,-100,100,10,30,10,100,0.5,1.0,1.0,2.0,0.5,-240.98,399.19,-449.59
21,-100,100,10,30,10,100,0.8,1.0,1.0,2.0,0.5,-186.16,130.69,-377.59
22,-100,100,10,30,10,100,0.5,1.0,1.0,2.0,0.8,79.92,589.07,-449.54
23,-100,100,10,30,10,100,0.8,1.0,1.0,2.0,0.8,1226.36,787.08,80.23
24,-100,100,10,100,10,100,0.5,1.3,1.3,1.4,0.5,-449.98,0.05,-450.0
25,-100,100,10,100,10,100,0.8,1.3,1.3,1.4,0.5,-412.51,28.9,-445.83
26,-100,100,10,100,10,100,0.5,1.3,1.3,1.4,0.8,-448.0,6.26,-450.0
27,-100,100,10,100,10,100,0.8,1.3,1.3,1.4,0.8,-15.5,324.1,-429.52
28,-100,100,10,100,10,100,0.5,1.0,1.4,1.6,0.5,-449.65,1.07,-450.0
29,-100,100,10,100,10,100,0.8,1.0,1.4,1.6,0.5,-413.1,48.81,-447.86
30,-100,100,10,100,10,100,0.5,1.0,1.4,1.6,0.8,-444.42,17.63,-450.0
31,-100,100,10,100,10,100,0.8,1.0,1.4,1.6,0.8,-17.65,287.25,-409.01
32,-100,100,10,100,10,100,0.5,1.0,1.0,2.0,0.5,-449.88,0.36,-450.0
33,-100,100,10,100,10,100,0.8,1.0,1.0,2.0,0.5,-391.02,71.88,-449.33
34,-100,100,10,100,10,100,0.5,1.0,1.0,2.0,0.8,-448.06,1.8,-450.0
35,-100,100,10,100,10,100,0.8,1.0,1.0,2.0,0.8,156.19,307.84,-313.4
36,-100,100,10,100,40,100,0.5,1.3,1.3,1.4,0.5,-449.67,0.48,-450.0
37,-100,100,10,100,40,100,0.8,1.3,1.3,1.4,0.5,-332.26,95.6,-432.05
38,-100,100,10,100,40,100,0.5,1.3,1.3,1.4,0.8,-447.56,4.92,-450.0
39,-100,100,10,100,40,100,0.8,1.3,1.3,1.4,0.8,20.84,350.39,-339.72
40,-100,100,10,100,40,100,0.5,1.0,1.4,1.6,0.5,-447.25,6.96,-450.0
41,-100,100,10,100,40,100,0.8,1.0,1.4,1.6,0.5,-304.93,117.98,-434.92
42,-100,100,10,100,40,100,0.5,1.0,1.4,1.6,0.8,-431.24,30.89,-449.7
43,-100,100,10,100,40,100,0.8,1.0,1.4,1.6,0.8,215.84,384.22,-211.74
44,-100,100,10,100,40,100,0.5,1.0,1.0,2.0,0.5,-445.23,8.23,-450.0
45,-100,100,10,100,40,100,0.8,1.0,1.0,2.0,0.5,-291.87,169.73,-391.81
46,-100,100,10,100,40,100,0.5,1.0,1.0,2.0,0.8,-408.45,77.32,-450.0
47,-100,100,10,100,40,100,0.8,1.0,1.0,2.0,0.8,379.24,656.03,-303.86
48,-100,100,10,100,10,300,0.5,1.3,1.3,1.4,0.5,-449.98,0.06,-450.0
49,-100,100,10,100,10,300,0.8,1.3,1.3,1.4,0.5,-439.51,16.02,-450.0
50,-100,100,10,100,10,300,0.5,1.3,1.3,1.4,0.8,-450.0,0.01,-450.0
51,-100,100,10,100,10,300,0.8,1.3,1.3,1.4,0.8,-346.68,88.87,-437.76
52,-100,100,10,100,10,300,0.5,1.0,1.4,1.6,0.5,-449.98,0.04,-450.0
53,-100,100,10,100,10,300,0.8,1.0,1.4,1.6,0.5,-421.98,35.75,-449.94
54,-100,100,10,100,10,300,0.5,1.0,1.4,1.6,0.8,-449.92,0.23,-450.0
55,-100,100,10,100,10,300,0.8,1.0,1.4,1.6,0.8,-239.97,203.78,-412.46
56,-100,100,10,100,10,300,0.5,1.0,1.0,2.0,0.5,-449.8,0.61,-450.0
57,-100,100,10,100,10,300,0.8,1.0,1.0,2.0,0.5,-414.01,26.83,-449.93
58,-100,100,10,100,10,300,0.5,1.0,1.0,2.0,0.8,-449.67,1.03,-450.0
59,-100,100,10,100,10,300,0.8,1.0,1.0,2.0,0.8,-120.04,165.65,-409.54
60,-100,100,10,100,40,300,0.5,1.3,1.3,1.4,0.5,-449.88,0.1,-450.0
61,-100,100,10,100,40,300,0.8,1.3,1.3,1.4,0.5,-391.38,46.47,-442.27
62,-100,100,10,100,40,300,0.5,1.3,1.3,1.4,0.8,-447.31,6.94,-450.0
63,-100,100,10,100,40,300,0.8,1.3,1.3,1.4,0.8,-244.21,138.61,-433.08
64,-100,100,10,100,40,300,0.5,1.0,1.4,1.6,0.5,-449.2,1.77,-450.0
65,-100,100,10,100,40,300,0.8,1.0,1.4,1.6,0.5,-432.78,22.95,-450.0
66,-100,100,10,100,40,300,0.5,1.0,1.4,1.6,0.8,-438.97,22.01,-450.0
67,-100,100,10,100,40,300,0.8,1.0,1.4,1.6,0.8,-201.05,184.52,-401.64
68,-100,100,10,100,40,300,0.5,1.0,1.0,2.0,0.5,-448.85,2.42,-450.0
69,-100,100,10,100,40,300,0.8,1.0,1.0,2.0,0.5,-352.2,68.7,-447.16
70,-100,100,10,100,40,300,0.5,1.0,1.0,2.0,0.8,-444.53,10.68,-450.0
71,-100,100,10,100,40,300,0.8,1.0,1.0,2.0,0.8,-44.35,236.16,-301.37
